font,ascent-override,descent-override,line-gap-override
"/ofl/anonymouspro/AnonymousPro-Regular.ttf",0.8178710938,0.1821289063,0
"/ofl/antic/Antic-Regular.ttf",0.94,0.251,0
"/ofl/anticdidone/AnticDidone-Regular.ttf",0.94,0.25,0
"/ofl/anticslab/AnticSlab-Regular.ttf",0.94,0.25,0
"/ofl/anton/Anton-Regular.ttf",1.176269531,0.3291015625,0
"/ofl/antonio/Antonio[wght].ttf",1.154785156,0.1391601563,0
"/ofl/anybody/Anybody-Italic[wdth,wght].ttf",0.795,0.24,0
"/ofl/anybody/Anybody[wdth,wght].ttf",0.795,0.24,0
"/ofl/aoboshione/AoboshiOne-Regular.ttf",1.16,0.288,0
"/ofl/arapey/Arapey-Italic.ttf",0.868,0.228,0
"/ofl/arapey/Arapey-Regular.ttf",0.868,0.228,0
"/ofl/arbutus/Arbutus-Regular.ttf",0.9814453125,0.2685546875,0
"/ofl/arbutusslab/ArbutusSlab-Regular.ttf",0.9814453125,0.2685546875,0
"/ofl/architectsdaughter/ArchitectsDaughter-Regular.ttf",0.986328125,0.4033203125,0
"/ofl/archivo/Archivo-Italic[wdth,wght].ttf",0.878,0.21,0
"/ofl/archivo/Archivo[wdth,wght].ttf",0.878,0.21,0
"/ofl/archivoblack/ArchivoBlack-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/archivonarrow/ArchivoNarrow-Italic[wght].ttf",1.035,0.312,0
"/ofl/archivonarrow/ArchivoNarrow[wght].ttf",1.035,0.312,0
"/ofl/arefruqaa/ArefRuqaa-Bold.ttf",1.221,0.244,0.098
"/ofl/arefruqaa/ArefRuqaa-Regular.ttf",1.221,0.244,0.098
"/ofl/areyouserious/AreYouSerious-Regular.ttf",0.88,0.32,0
"/ofl/arimamadurai/ArimaMadurai-Black.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-Bold.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-ExtraBold.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-ExtraLight.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-Light.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-Medium.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-Regular.ttf",1.073,0.56,0
"/ofl/arimamadurai/ArimaMadurai-Thin.ttf",1.073,0.56,0
"/ofl/arizonia/Arizonia-Regular.ttf",0.9,0.35,0
"/ofl/armata/Armata-Regular.ttf",0.9765625,0.2734375,0
"/ofl/arsenal/Arsenal-Bold.ttf",1,0.254,0
"/ofl/arsenal/Arsenal-BoldItalic.ttf",1,0.254,0
"/ofl/arsenal/Arsenal-Italic.ttf",1,0.254,0
"/ofl/arsenal/Arsenal-Regular.ttf",1,0.254,0
"/ofl/artifika/Artifika-Regular.ttf",0.96875,0.248046875,0
"/ofl/arvo/Arvo-Bold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/arvo/Arvo-BoldItalic.ttf",varies by OS,varies by OS,varies by OS
"/ofl/arvo/Arvo-Italic.ttf",varies by OS,varies by OS,varies by OS
"/ofl/arvo/Arvo-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/arya/Arya-Bold.ttf",1.265,0.544,0
"/ofl/arya/Arya-Regular.ttf",1.265,0.544,0
"/ofl/asap/Asap-Italic[wght].ttf",0.934,0.212,0
"/ofl/asap/Asap[wght].ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-Bold.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-BoldItalic.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-Italic.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-Medium.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-MediumItalic.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-Regular.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-SemiBold.ttf",0.934,0.212,0
"/ofl/asapcondensed/AsapCondensed-SemiBoldItalic.ttf",0.934,0.212,0
"/ofl/asapvfbeta/AsapVFBeta-Condensed.ttf",0.934,0.212,0
"/ofl/asapvfbeta/AsapVFBeta-Italic.ttf",0.934,0.212,0
"/ofl/asapvfbeta/AsapVFBeta.ttf",0.934,0.212,0
"/ofl/asar/Asar-Regular.ttf",1.196,0.557,0
"/ofl/asset/Asset-Regular.ttf",0.9624023438,0.2875976563,0
"/ofl/assistant/Assistant[wght].ttf",1.021,0.287,0
"/ofl/astloch/Astloch-Bold.ttf",varies by OS,varies by OS,varies by OS
"/ofl/astloch/Astloch-Regular.ttf",varies by OS,varies by OS,varies by OS
"/ofl/asul/Asul-Bold.ttf",0.949,0.264,0
"/ofl/asul/Asul-Regular.ttf",0.949,0.264,0
"/ofl/athiti/Athiti-Bold.ttf",1.15,0.45,0
"/ofl/athiti/Athiti-ExtraLight.ttf",1.15,0.45,0
"/ofl/athiti/Athiti-Light.ttf",1.15,0.45,0
"/ofl/athiti/Athiti-Medium.ttf",1.15,0.45,0
"/ofl/athiti/Athiti-Regular.ttf",1.15,0.45,0
"/ofl/athiti/Athiti-SemiBold.ttf",1.15,0.45,0
"/ofl/atkinsonhyperlegible/AtkinsonHyperlegible-Bold.ttf",0.95,0.29,0
"/ofl/atkinsonhyperlegible/AtkinsonHyperlegible-BoldItalic.ttf",0.95,0.29,0
"/ofl/atkinsonhyperlegible/AtkinsonHyperlegible-Italic.ttf",0.95,0.29,0
"/ofl/atkinsonhyperlegible/AtkinsonHyperlegible-Regular.ttf",0.95,0.29,0
"/ofl/atma/Atma-Bold.ttf",1.101,0.518,0
"/ofl/atma/Atma-Light.ttf",1.101,0.518,0
"/ofl/atma/Atma-Medium.ttf",1.101,0.518,0
"/ofl/atma/Atma-Regular.ttf",1.101,0.518,0
"/ofl/atma/Atma-SemiBold.ttf",1.101,0.518,0
"/ofl/atomicage/AtomicAge-Regular.ttf",1.020996094,0.3203125,0
"/ofl/aubrey/Aubrey-Regular.ttf",0.83,0.212,0
"/ofl/audiowide/Audiowide-Regular.ttf",0.9897460938,0.28515625,0
"/ofl/autourone/AutourOne-Regular.ttf",0.9814453125,0.2685546875,0
"/ofl/average/Average-Regular.ttf",0.953,0.263,0
"/ofl/averagesans/AverageSans-Regular.ttf",1.027,0.269,0
"/ofl/averiagruesalibre/AveriaGruesaLibre-Regular.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-Bold.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-BoldItalic.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-Italic.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-Light.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-LightItalic.ttf",0.953125,0.240234375,0
"/ofl/averialibre/AveriaLibre-Regular.ttf",0.953125,0.240234375,0
"/ofl/averiasanslibre/AveriaSansLibre-Bold.ttf",0.9936523438,0.2436523438,0
"/ofl/averiasanslibre/AveriaSansLibre-BoldItalic.ttf",0.9936523438,0.2436523438,0
"/ofl/averiasanslibre/AveriaSansLibre-Italic.ttf",0.9936523438,0.2436523438,0
"/ofl/averiasanslibre/AveriaSansLibre-Light.ttf",0.9936523438,0.2436523438,0
"/ofl/averiasanslibre/AveriaSansLibre-LightItalic.ttf",0.9936523438,0.2436523438,0
